timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:23.658140,moon-knight,pc,quickplay,all,8.05,47.52
2025-02-03T19:35:23.658140,moon-knight,pc,competitive,all,9.53,46.35
2025-02-03T19:35:23.658140,moon-knight,pc,competitive,bronze,10.18,47.42
2025-02-03T19:35:23.658140,moon-knight,pc,competitive,diamond,6.67,43.33
2025-02-03T19:35:23.658140,moon-knight,pc,competitive,gold,9.21,45.52
2025-02-03T19:35:23.658140,moon-knight,pc,competitive,grandmaster and above,4.59,42.99
2025-02-03T19:35:23.658140,moon-knight,pc,competitive,platinum,7.56,44.43
2025-02-03T19:35:23.658140,moon-knight,pc,competitive,silver,10.30,46.42
2025-02-03T19:35:23.658140,moon-knight,console,quickplay,all,8.05,47.52
2025-02-03T19:35:23.658140,moon-knight,console,competitive,all,11.10,47.57
2025-02-03T19:35:23.658140,moon-knight,console,competitive,bronze,11.80,48.58
2025-02-03T19:35:23.658140,moon-knight,console,competitive,diamond,8.09,44.57
2025-02-03T19:35:23.658140,moon-knight,console,competitive,gold,10.68,46.83
2025-02-03T19:35:23.658140,moon-knight,console,competitive,grandmaster and above,5.59,43.20
2025-02-03T19:35:23.658140,moon-knight,console,competitive,platinum,9.36,45.89
2025-02-03T19:35:23.658140,moon-knight,console,competitive,silver,11.94,47.73
2025-02-04T02:13:30.685107,moon-knight,pc,quickplay,all,8.05,47.52
2025-02-04T02:13:30.685107,moon-knight,pc,competitive,all,9.53,46.35
2025-02-04T02:13:30.685107,moon-knight,pc,competitive,bronze,10.18,47.42
2025-02-04T02:13:30.685107,moon-knight,pc,competitive,diamond,6.67,43.33
2025-02-04T02:13:30.685107,moon-knight,pc,competitive,gold,9.21,45.52
2025-02-04T02:13:30.685107,moon-knight,pc,competitive,grandmaster and above,4.59,42.99
2025-02-04T02:13:30.685107,moon-knight,pc,competitive,platinum,7.56,44.43
2025-02-04T02:13:30.685107,moon-knight,pc,competitive,silver,10.30,46.42
2025-02-04T02:13:30.685107,moon-knight,console,quickplay,all,8.05,47.52
2025-02-04T02:13:30.685107,moon-knight,console,competitive,all,11.10,47.57
2025-02-04T02:13:30.685107,moon-knight,console,competitive,bronze,11.80,48.58
2025-02-04T02:13:30.685107,moon-knight,console,competitive,diamond,8.09,44.57
2025-02-04T02:13:30.685107,moon-knight,console,competitive,gold,10.68,46.83
2025-02-04T02:13:30.685107,moon-knight,console,competitive,grandmaster and above,5.59,43.20
2025-02-04T02:13:30.685107,moon-knight,console,competitive,platinum,9.36,45.89
2025-02-04T02:13:30.685107,moon-knight,console,competitive,silver,11.94,47.73
