timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:36:18.639728,jeff-the-land-shark,pc,quickplay,all,21.18,45.39
2025-02-03T19:36:18.639728,jeff-the-land-shark,pc,competitive,all,13.86,44.38
2025-02-03T19:36:18.639728,jeff-the-land-shark,pc,competitive,bronze,18.47,45.14
2025-02-03T19:36:18.639728,jeff-the-land-shark,pc,competitive,diamond,5.55,43.10
2025-02-03T19:36:18.639728,jeff-the-land-shark,pc,competitive,gold,11.50,43.62
2025-02-03T19:36:18.639728,jeff-the-land-shark,pc,competitive,grandmaster and above,3.94,44.21
2025-02-03T19:36:18.639728,jeff-the-land-shark,pc,competitive,platinum,7.82,43.36
2025-02-03T19:36:18.639728,jeff-the-land-shark,pc,competitive,silver,14.62,44.01
2025-02-03T19:36:18.639728,jeff-the-land-shark,console,quickplay,all,21.18,45.39
2025-02-03T19:36:18.639728,jeff-the-land-shark,console,competitive,all,14.18,44.95
2025-02-03T19:36:18.639728,jeff-the-land-shark,console,competitive,bronze,18.78,45.57
2025-02-03T19:36:18.639728,jeff-the-land-shark,console,competitive,diamond,6.55,44.56
2025-02-03T19:36:18.639728,jeff-the-land-shark,console,competitive,gold,12.22,44.55
2025-02-03T19:36:18.639728,jeff-the-land-shark,console,competitive,grandmaster and above,4.80,44.25
2025-02-03T19:36:18.639728,jeff-the-land-shark,console,competitive,platinum,8.79,44.98
2025-02-03T19:36:18.639728,jeff-the-land-shark,console,competitive,silver,15.09,45.20
2025-02-04T02:15:58.698225,jeff-the-land-shark,pc,quickplay,all,21.18,45.39
2025-02-04T02:15:58.698225,jeff-the-land-shark,pc,competitive,all,13.86,44.38
2025-02-04T02:15:58.698225,jeff-the-land-shark,pc,competitive,bronze,18.47,45.14
2025-02-04T02:15:58.698225,jeff-the-land-shark,pc,competitive,diamond,5.55,43.10
2025-02-04T02:15:58.698225,jeff-the-land-shark,pc,competitive,gold,11.50,43.62
2025-02-04T02:15:58.698225,jeff-the-land-shark,pc,competitive,grandmaster and above,3.94,44.21
2025-02-04T02:15:58.698225,jeff-the-land-shark,pc,competitive,platinum,7.82,43.36
2025-02-04T02:15:58.698225,jeff-the-land-shark,pc,competitive,silver,14.62,44.01
2025-02-04T02:15:58.698225,jeff-the-land-shark,console,quickplay,all,21.18,45.39
2025-02-04T02:15:58.698225,jeff-the-land-shark,console,competitive,all,14.18,44.95
2025-02-04T02:15:58.698225,jeff-the-land-shark,console,competitive,bronze,18.78,45.57
2025-02-04T02:15:58.698225,jeff-the-land-shark,console,competitive,diamond,6.55,44.56
2025-02-04T02:15:58.698225,jeff-the-land-shark,console,competitive,gold,12.22,44.55
2025-02-04T02:15:58.698225,jeff-the-land-shark,console,competitive,grandmaster and above,4.80,44.25
2025-02-04T02:15:58.698225,jeff-the-land-shark,console,competitive,platinum,8.79,44.98
2025-02-04T02:15:58.698225,jeff-the-land-shark,console,competitive,silver,15.09,45.20
2025-02-05T02:17:17.073185,jeff-the-land-shark,pc,quickplay,all,21.18,45.39
2025-02-05T02:17:17.073185,jeff-the-land-shark,pc,competitive,all,13.86,44.38
2025-02-05T02:17:17.073185,jeff-the-land-shark,pc,competitive,bronze,18.47,45.14
2025-02-05T02:17:17.073185,jeff-the-land-shark,pc,competitive,diamond,5.55,43.10
2025-02-05T02:17:17.073185,jeff-the-land-shark,pc,competitive,gold,11.50,43.62
2025-02-05T02:17:17.073185,jeff-the-land-shark,pc,competitive,grandmaster and above,3.94,44.21
2025-02-05T02:17:17.073185,jeff-the-land-shark,pc,competitive,platinum,7.82,43.36
2025-02-05T02:17:17.073185,jeff-the-land-shark,pc,competitive,silver,14.62,44.01
2025-02-05T02:17:17.073185,jeff-the-land-shark,console,quickplay,all,21.18,45.39
2025-02-05T02:17:17.073185,jeff-the-land-shark,console,competitive,all,14.18,44.95
2025-02-05T02:17:17.073185,jeff-the-land-shark,console,competitive,bronze,18.78,45.57
2025-02-05T02:17:17.073185,jeff-the-land-shark,console,competitive,diamond,6.55,44.56
2025-02-05T02:17:17.073185,jeff-the-land-shark,console,competitive,gold,12.22,44.55
2025-02-05T02:17:17.073185,jeff-the-land-shark,console,competitive,grandmaster and above,4.80,44.25
2025-02-05T02:17:17.073185,jeff-the-land-shark,console,competitive,platinum,8.79,44.98
2025-02-05T02:17:17.073185,jeff-the-land-shark,console,competitive,silver,15.09,45.20
2025-02-06T02:17:29.381205,jeff-the-land-shark,pc,quickplay,all,21.18,45.39
2025-02-06T02:17:29.381205,jeff-the-land-shark,pc,competitive,all,13.86,44.38
2025-02-06T02:17:29.381205,jeff-the-land-shark,pc,competitive,bronze,18.47,45.14
2025-02-06T02:17:29.381205,jeff-the-land-shark,pc,competitive,diamond,5.55,43.10
2025-02-06T02:17:29.381205,jeff-the-land-shark,pc,competitive,gold,11.50,43.62
2025-02-06T02:17:29.381205,jeff-the-land-shark,pc,competitive,grandmaster and above,3.94,44.21
2025-02-06T02:17:29.381205,jeff-the-land-shark,pc,competitive,platinum,7.82,43.36
2025-02-06T02:17:29.381205,jeff-the-land-shark,pc,competitive,silver,14.62,44.01
2025-02-06T02:17:29.381205,jeff-the-land-shark,console,quickplay,all,21.18,45.39
2025-02-06T02:17:29.381205,jeff-the-land-shark,console,competitive,all,14.18,44.95
2025-02-06T02:17:29.381205,jeff-the-land-shark,console,competitive,bronze,18.78,45.57
2025-02-06T02:17:29.381205,jeff-the-land-shark,console,competitive,diamond,6.55,44.56
2025-02-06T02:17:29.381205,jeff-the-land-shark,console,competitive,gold,12.22,44.55
2025-02-06T02:17:29.381205,jeff-the-land-shark,console,competitive,grandmaster and above,4.80,44.25
2025-02-06T02:17:29.381205,jeff-the-land-shark,console,competitive,platinum,8.79,44.98
2025-02-06T02:17:29.381205,jeff-the-land-shark,console,competitive,silver,15.09,45.20
2025-02-07T02:18:00.633647,jeff-the-land-shark,pc,quickplay,all,21.18,45.39
2025-02-07T02:18:00.633647,jeff-the-land-shark,pc,competitive,all,13.86,44.38
2025-02-07T02:18:00.633647,jeff-the-land-shark,pc,competitive,bronze,18.47,45.14
2025-02-07T02:18:00.633647,jeff-the-land-shark,pc,competitive,diamond,5.55,43.10
2025-02-07T02:18:00.633647,jeff-the-land-shark,pc,competitive,gold,11.50,43.62
2025-02-07T02:18:00.633647,jeff-the-land-shark,pc,competitive,grandmaster and above,3.94,44.21
2025-02-07T02:18:00.633647,jeff-the-land-shark,pc,competitive,platinum,7.82,43.36
2025-02-07T02:18:00.633647,jeff-the-land-shark,pc,competitive,silver,14.62,44.01
2025-02-07T02:18:00.633647,jeff-the-land-shark,console,quickplay,all,21.18,45.39
2025-02-07T02:18:00.633647,jeff-the-land-shark,console,competitive,all,14.18,44.95
2025-02-07T02:18:00.633647,jeff-the-land-shark,console,competitive,bronze,18.78,45.57
2025-02-07T02:18:00.633647,jeff-the-land-shark,console,competitive,diamond,6.55,44.56
2025-02-07T02:18:00.633647,jeff-the-land-shark,console,competitive,gold,12.22,44.55
2025-02-07T02:18:00.633647,jeff-the-land-shark,console,competitive,grandmaster and above,4.80,44.25
