timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:30.911576,black-widow,pc,quickplay,all,2.93,44.15
2025-02-03T19:35:30.911576,black-widow,pc,competitive,all,1.21,41.07
2025-02-03T19:35:30.911576,black-widow,pc,competitive,bronze,1.86,41.81
2025-02-03T19:35:30.911576,black-widow,pc,competitive,diamond,0.63,37.08
2025-02-03T19:35:30.911576,black-widow,pc,competitive,gold,0.75,40.66
2025-02-03T19:35:30.911576,black-widow,pc,competitive,grandmaster and above,0.80,39.41
2025-02-03T19:35:30.911576,black-widow,pc,competitive,platinum,0.55,38.95
2025-02-03T19:35:30.911576,black-widow,pc,competitive,silver,1.03,41.22
2025-02-03T19:35:30.911576,black-widow,console,quickplay,all,2.93,44.15
2025-02-03T19:35:30.911576,black-widow,console,competitive,all,0.79,37.99
2025-02-03T19:35:30.911576,black-widow,console,competitive,bronze,1.20,38.27
2025-02-03T19:35:30.911576,black-widow,console,competitive,diamond,0.35,34.44
2025-02-03T19:35:30.911576,black-widow,console,competitive,gold,0.54,37.60
2025-02-03T19:35:30.911576,black-widow,console,competitive,grandmaster and above,0.37,32.96
2025-02-03T19:35:30.911576,black-widow,console,competitive,platinum,0.39,37.54
2025-02-03T19:35:30.911576,black-widow,console,competitive,silver,0.70,38.32
2025-02-04T02:13:52.312575,black-widow,pc,quickplay,all,2.93,44.15
2025-02-04T02:13:52.312575,black-widow,pc,competitive,all,1.21,41.07
2025-02-04T02:13:52.312575,black-widow,pc,competitive,bronze,1.86,41.81
2025-02-04T02:13:52.312575,black-widow,pc,competitive,diamond,0.63,37.08
2025-02-04T02:13:52.312575,black-widow,pc,competitive,gold,0.75,40.66
2025-02-04T02:13:52.312575,black-widow,pc,competitive,grandmaster and above,0.80,39.41
2025-02-04T02:13:52.312575,black-widow,pc,competitive,platinum,0.55,38.95
2025-02-04T02:13:52.312575,black-widow,pc,competitive,silver,1.03,41.22
2025-02-04T02:13:52.312575,black-widow,console,quickplay,all,2.93,44.15
2025-02-04T02:13:52.312575,black-widow,console,competitive,all,0.79,37.99
2025-02-04T02:13:52.312575,black-widow,console,competitive,bronze,1.20,38.27
2025-02-04T02:13:52.312575,black-widow,console,competitive,diamond,0.35,34.44
2025-02-04T02:13:52.312575,black-widow,console,competitive,gold,0.54,37.60
2025-02-04T02:13:52.312575,black-widow,console,competitive,grandmaster and above,0.37,32.96
2025-02-04T02:13:52.312575,black-widow,console,competitive,platinum,0.39,37.54
2025-02-04T02:13:52.312575,black-widow,console,competitive,silver,0.70,38.32
2025-02-05T02:15:10.721491,black-widow,pc,quickplay,all,2.93,44.15
2025-02-05T02:15:10.721491,black-widow,pc,competitive,all,1.21,41.07
2025-02-05T02:15:10.721491,black-widow,pc,competitive,bronze,1.86,41.81
2025-02-05T02:15:10.721491,black-widow,pc,competitive,diamond,0.63,37.08
2025-02-05T02:15:10.721491,black-widow,pc,competitive,gold,0.75,40.66
2025-02-05T02:15:10.721491,black-widow,pc,competitive,grandmaster and above,0.80,39.41
2025-02-05T02:15:10.721491,black-widow,pc,competitive,platinum,0.55,38.95
2025-02-05T02:15:10.721491,black-widow,pc,competitive,silver,1.03,41.22
2025-02-05T02:15:10.721491,black-widow,console,quickplay,all,2.93,44.15
2025-02-05T02:15:10.721491,black-widow,console,competitive,all,0.79,37.99
2025-02-05T02:15:10.721491,black-widow,console,competitive,bronze,1.20,38.27
2025-02-05T02:15:10.721491,black-widow,console,competitive,diamond,0.35,34.44
2025-02-05T02:15:10.721491,black-widow,console,competitive,gold,0.54,37.60
2025-02-05T02:15:10.721491,black-widow,console,competitive,grandmaster and above,0.37,32.96
