timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:36:25.115870,iron-fist,pc,quickplay,all,5.62,51.36
2025-02-03T19:36:25.115870,iron-fist,pc,competitive,all,3.90,49.55
2025-02-03T19:36:25.115870,iron-fist,pc,competitive,bronze,5.13,49.92
2025-02-03T19:36:25.115870,iron-fist,pc,competitive,diamond,1.55,51.25
2025-02-03T19:36:25.115870,iron-fist,pc,competitive,gold,3.04,48.96
2025-02-03T19:36:25.115870,iron-fist,pc,competitive,grandmaster and above,1.60,54.00
2025-02-03T19:36:25.115870,iron-fist,pc,competitive,platinum,2.10,49.16
2025-02-03T19:36:25.115870,iron-fist,pc,competitive,silver,4.03,49.12
2025-02-03T19:36:25.115870,iron-fist,console,quickplay,all,5.62,51.36
2025-02-03T19:36:25.115870,iron-fist,console,competitive,all,5.10,51.58
2025-02-03T19:36:25.115870,iron-fist,console,competitive,bronze,6.12,51.91
2025-02-03T19:36:25.115870,iron-fist,console,competitive,diamond,2.70,51.92
2025-02-03T19:36:25.115870,iron-fist,console,competitive,gold,4.54,51.14
2025-02-03T19:36:25.115870,iron-fist,console,competitive,grandmaster and above,2.31,52.78
2025-02-03T19:36:25.115870,iron-fist,console,competitive,platinum,3.56,51.18
2025-02-03T19:36:25.115870,iron-fist,console,competitive,silver,5.34,51.39
2025-02-04T02:16:21.235346,iron-fist,pc,quickplay,all,5.62,51.36
2025-02-04T02:16:21.235346,iron-fist,pc,competitive,all,3.90,49.55
2025-02-04T02:16:21.235346,iron-fist,pc,competitive,bronze,5.13,49.92
2025-02-04T02:16:21.235346,iron-fist,pc,competitive,diamond,1.55,51.25
2025-02-04T02:16:21.235346,iron-fist,pc,competitive,gold,3.04,48.96
2025-02-04T02:16:21.235346,iron-fist,pc,competitive,grandmaster and above,1.60,54.00
2025-02-04T02:16:21.235346,iron-fist,pc,competitive,platinum,2.10,49.16
2025-02-04T02:16:21.235346,iron-fist,pc,competitive,silver,4.03,49.12
2025-02-04T02:16:21.235346,iron-fist,console,quickplay,all,5.62,51.36
2025-02-04T02:16:21.235346,iron-fist,console,competitive,all,5.10,51.58
2025-02-04T02:16:21.235346,iron-fist,console,competitive,bronze,6.12,51.91
2025-02-04T02:16:21.235346,iron-fist,console,competitive,diamond,2.70,51.92
2025-02-04T02:16:21.235346,iron-fist,console,competitive,gold,4.54,51.14
2025-02-04T02:16:21.235346,iron-fist,console,competitive,grandmaster and above,2.31,52.78
2025-02-04T02:16:21.235346,iron-fist,console,competitive,platinum,3.56,51.18
2025-02-04T02:16:21.235346,iron-fist,console,competitive,silver,5.34,51.39
2025-02-05T02:17:39.992274,iron-fist,pc,quickplay,all,5.62,51.36
2025-02-05T02:17:39.992274,iron-fist,pc,competitive,all,3.90,49.55
2025-02-05T02:17:39.992274,iron-fist,pc,competitive,bronze,5.13,49.92
2025-02-05T02:17:39.992274,iron-fist,pc,competitive,diamond,1.55,51.25
2025-02-05T02:17:39.992274,iron-fist,pc,competitive,gold,3.04,48.96
2025-02-05T02:17:39.992274,iron-fist,pc,competitive,grandmaster and above,1.60,54.00
2025-02-05T02:17:39.992274,iron-fist,pc,competitive,platinum,2.10,49.16
2025-02-05T02:17:39.992274,iron-fist,pc,competitive,silver,4.03,49.12
2025-02-05T02:17:39.992274,iron-fist,console,quickplay,all,5.62,51.36
2025-02-05T02:17:39.992274,iron-fist,console,competitive,all,5.10,51.58
2025-02-05T02:17:39.992274,iron-fist,console,competitive,bronze,6.12,51.91
2025-02-05T02:17:39.992274,iron-fist,console,competitive,diamond,2.70,51.92
2025-02-05T02:17:39.992274,iron-fist,console,competitive,gold,4.54,51.14
2025-02-05T02:17:39.992274,iron-fist,console,competitive,grandmaster and above,2.31,52.78
2025-02-05T02:17:39.992274,iron-fist,console,competitive,platinum,3.56,51.18
2025-02-05T02:17:39.992274,iron-fist,console,competitive,silver,5.34,51.39
2025-02-06T02:17:56.312024,iron-fist,pc,quickplay,all,5.62,51.36
2025-02-06T02:17:56.312024,iron-fist,pc,competitive,all,3.90,49.55
2025-02-06T02:17:56.312024,iron-fist,pc,competitive,bronze,5.13,49.92
2025-02-06T02:17:56.312024,iron-fist,pc,competitive,diamond,1.55,51.25
2025-02-06T02:17:56.312024,iron-fist,pc,competitive,gold,3.04,48.96
2025-02-06T02:17:56.312024,iron-fist,pc,competitive,grandmaster and above,1.60,54.00
2025-02-06T02:17:56.312024,iron-fist,pc,competitive,platinum,2.10,49.16
2025-02-06T02:17:56.312024,iron-fist,pc,competitive,silver,4.03,49.12
2025-02-06T02:17:56.312024,iron-fist,console,quickplay,all,5.62,51.36
2025-02-06T02:17:56.312024,iron-fist,console,competitive,all,5.10,51.58
2025-02-06T02:17:56.312024,iron-fist,console,competitive,bronze,6.12,51.91
2025-02-06T02:17:56.312024,iron-fist,console,competitive,diamond,2.70,51.92
2025-02-06T02:17:56.312024,iron-fist,console,competitive,gold,4.54,51.14
2025-02-06T02:17:56.312024,iron-fist,console,competitive,grandmaster and above,2.31,52.78
2025-02-06T02:17:56.312024,iron-fist,console,competitive,platinum,3.56,51.18
2025-02-06T02:17:56.312024,iron-fist,console,competitive,silver,5.34,51.39
2025-02-07T02:18:21.978928,iron-fist,pc,quickplay,all,5.62,51.36
2025-02-07T02:18:21.978928,iron-fist,pc,competitive,all,3.90,49.55
2025-02-07T02:18:21.978928,iron-fist,pc,competitive,bronze,5.13,49.92
2025-02-07T02:18:21.978928,iron-fist,pc,competitive,diamond,1.55,51.25
2025-02-07T02:18:21.978928,iron-fist,pc,competitive,gold,3.04,48.96
2025-02-07T02:18:21.978928,iron-fist,pc,competitive,grandmaster and above,1.60,54.00
2025-02-07T02:18:21.978928,iron-fist,pc,competitive,platinum,2.10,49.16
2025-02-07T02:18:21.978928,iron-fist,pc,competitive,silver,4.03,49.12
