timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:27.865934,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-03T19:35:27.865934,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-03T19:35:27.865934,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-03T19:35:27.865934,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-03T19:35:27.865934,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-03T19:35:27.865934,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-03T19:35:27.865934,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-03T19:35:27.865934,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-03T19:35:27.865934,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-03T19:35:27.865934,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-03T19:35:27.865934,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-03T19:35:27.865934,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-03T19:35:27.865934,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-03T19:35:27.865934,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-03T19:35:27.865934,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-03T19:35:27.865934,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-04T02:13:45.772901,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-04T02:13:45.772901,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-04T02:13:45.772901,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-04T02:13:45.772901,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-04T02:13:45.772901,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-04T02:13:45.772901,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-04T02:13:45.772901,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-04T02:13:45.772901,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-04T02:13:45.772901,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-04T02:13:45.772901,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-04T02:13:45.772901,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-04T02:13:45.772901,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-04T02:13:45.772901,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-04T02:13:45.772901,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-04T02:13:45.772901,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-04T02:13:45.772901,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-05T02:15:03.792000,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-05T02:15:03.792000,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-05T02:15:03.792000,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-05T02:15:03.792000,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-05T02:15:03.792000,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-05T02:15:03.792000,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-05T02:15:03.792000,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-05T02:15:03.792000,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-05T02:15:03.792000,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-05T02:15:03.792000,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-05T02:15:03.792000,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-05T02:15:03.792000,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-05T02:15:03.792000,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-05T02:15:03.792000,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-05T02:15:03.792000,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-05T02:15:03.792000,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-06T02:15:31.814784,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-06T02:15:31.814784,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-06T02:15:31.814784,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-06T02:15:31.814784,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-06T02:15:31.814784,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-06T02:15:31.814784,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-06T02:15:31.814784,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-06T02:15:31.814784,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-06T02:15:31.814784,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-06T02:15:31.814784,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-06T02:15:31.814784,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-06T02:15:31.814784,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-06T02:15:31.814784,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-06T02:15:31.814784,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-06T02:15:31.814784,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-06T02:15:31.814784,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-07T02:16:06.806666,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-07T02:16:06.806666,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-07T02:16:06.806666,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-07T02:16:06.806666,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-07T02:16:06.806666,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-07T02:16:06.806666,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-07T02:16:06.806666,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-07T02:16:06.806666,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-07T02:16:06.806666,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-07T02:16:06.806666,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-07T02:16:06.806666,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-07T02:16:06.806666,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-07T02:16:06.806666,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-07T02:16:06.806666,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-07T02:16:06.806666,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-07T02:16:06.806666,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-09T02:18:19.499109,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-09T02:18:19.499109,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-09T02:18:19.499109,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-09T02:18:19.499109,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-09T02:18:19.499109,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-09T02:18:19.499109,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-09T02:18:19.499109,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-09T02:18:19.499109,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-09T02:18:19.499109,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-09T02:18:19.499109,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-09T02:18:19.499109,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-09T02:18:19.499109,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-09T02:18:19.499109,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-09T02:18:19.499109,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-09T02:18:19.499109,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-09T02:18:19.499109,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-10T02:17:46.267566,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-10T02:17:46.267566,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-10T02:17:46.267566,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-10T02:17:46.267566,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-10T02:17:46.267566,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-10T02:17:46.267566,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-10T02:17:46.267566,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-10T02:17:46.267566,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-10T02:17:46.267566,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-10T02:17:46.267566,squirrel-girl,console,competitive,all,3.23,46.28
