timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:36:20.916416,wolverine,pc,quickplay,all,3.23,47.96
2025-02-03T19:36:20.916416,wolverine,pc,competitive,all,1.95,48.04
2025-02-03T19:36:20.916416,wolverine,pc,competitive,bronze,1.64,46.15
2025-02-03T19:36:20.916416,wolverine,pc,competitive,diamond,3.37,51.02
2025-02-03T19:36:20.916416,wolverine,pc,competitive,gold,2.09,48.66
2025-02-03T19:36:20.916416,wolverine,pc,competitive,grandmaster and above,4.48,52.16
2025-02-03T19:36:20.916416,wolverine,pc,competitive,platinum,2.56,49.46
2025-02-03T19:36:20.916416,wolverine,pc,competitive,silver,1.68,47.63
2025-02-03T19:36:20.916416,wolverine,console,quickplay,all,3.23,47.96
2025-02-03T19:36:20.916416,wolverine,console,competitive,all,2.14,47.89
2025-02-03T19:36:20.916416,wolverine,console,competitive,bronze,2.00,46.46
2025-02-03T19:36:20.916416,wolverine,console,competitive,diamond,3.32,50.33
2025-02-03T19:36:20.916416,wolverine,console,competitive,gold,2.11,48.29
2025-02-03T19:36:20.916416,wolverine,console,competitive,grandmaster and above,4.68,52.12
2025-02-03T19:36:20.916416,wolverine,console,competitive,platinum,2.48,49.19
2025-02-03T19:36:20.916416,wolverine,console,competitive,silver,1.90,47.63
2025-02-04T02:16:05.576598,wolverine,pc,quickplay,all,3.23,47.96
2025-02-04T02:16:05.576598,wolverine,pc,competitive,all,1.95,48.04
2025-02-04T02:16:05.576598,wolverine,pc,competitive,bronze,1.64,46.15
2025-02-04T02:16:05.576598,wolverine,pc,competitive,diamond,3.37,51.02
2025-02-04T02:16:05.576598,wolverine,pc,competitive,gold,2.09,48.66
2025-02-04T02:16:05.576598,wolverine,pc,competitive,grandmaster and above,4.48,52.16
2025-02-04T02:16:05.576598,wolverine,pc,competitive,platinum,2.56,49.46
2025-02-04T02:16:05.576598,wolverine,pc,competitive,silver,1.68,47.63
2025-02-04T02:16:05.576598,wolverine,console,quickplay,all,3.23,47.96
2025-02-04T02:16:05.576598,wolverine,console,competitive,all,2.14,47.89
2025-02-04T02:16:05.576598,wolverine,console,competitive,bronze,2.00,46.46
2025-02-04T02:16:05.576598,wolverine,console,competitive,diamond,3.32,50.33
2025-02-04T02:16:05.576598,wolverine,console,competitive,gold,2.11,48.29
2025-02-04T02:16:05.576598,wolverine,console,competitive,grandmaster and above,4.68,52.12
2025-02-04T02:16:05.576598,wolverine,console,competitive,platinum,2.48,49.19
2025-02-04T02:16:05.576598,wolverine,console,competitive,silver,1.90,47.63
2025-02-05T02:17:24.400089,wolverine,pc,quickplay,all,3.23,47.96
2025-02-05T02:17:24.400089,wolverine,pc,competitive,all,1.95,48.04
2025-02-05T02:17:24.400089,wolverine,pc,competitive,bronze,1.64,46.15
2025-02-05T02:17:24.400089,wolverine,pc,competitive,diamond,3.37,51.02
2025-02-05T02:17:24.400089,wolverine,pc,competitive,gold,2.09,48.66
2025-02-05T02:17:24.400089,wolverine,pc,competitive,grandmaster and above,4.48,52.16
2025-02-05T02:17:24.400089,wolverine,pc,competitive,platinum,2.56,49.46
2025-02-05T02:17:24.400089,wolverine,pc,competitive,silver,1.68,47.63
2025-02-05T02:17:24.400089,wolverine,console,quickplay,all,3.23,47.96
2025-02-05T02:17:24.400089,wolverine,console,competitive,all,2.14,47.89
2025-02-05T02:17:24.400089,wolverine,console,competitive,bronze,2.00,46.46
2025-02-05T02:17:24.400089,wolverine,console,competitive,diamond,3.32,50.33
2025-02-05T02:17:24.400089,wolverine,console,competitive,gold,2.11,48.29
2025-02-05T02:17:24.400089,wolverine,console,competitive,grandmaster and above,4.68,52.12
2025-02-05T02:17:24.400089,wolverine,console,competitive,platinum,2.48,49.19
2025-02-05T02:17:24.400089,wolverine,console,competitive,silver,1.90,47.63
2025-02-06T02:17:36.853559,wolverine,pc,quickplay,all,3.23,47.96
2025-02-06T02:17:36.853559,wolverine,pc,competitive,all,1.95,48.04
2025-02-06T02:17:36.853559,wolverine,pc,competitive,bronze,1.64,46.15
2025-02-06T02:17:36.853559,wolverine,pc,competitive,diamond,3.37,51.02
2025-02-06T02:17:36.853559,wolverine,pc,competitive,gold,2.09,48.66
2025-02-06T02:17:36.853559,wolverine,pc,competitive,grandmaster and above,4.48,52.16
2025-02-06T02:17:36.853559,wolverine,pc,competitive,platinum,2.56,49.46
2025-02-06T02:17:36.853559,wolverine,pc,competitive,silver,1.68,47.63
2025-02-06T02:17:36.853559,wolverine,console,quickplay,all,3.23,47.96
2025-02-06T02:17:36.853559,wolverine,console,competitive,all,2.14,47.89
2025-02-06T02:17:36.853559,wolverine,console,competitive,bronze,2.00,46.46
2025-02-06T02:17:36.853559,wolverine,console,competitive,diamond,3.32,50.33
2025-02-06T02:17:36.853559,wolverine,console,competitive,gold,2.11,48.29
2025-02-06T02:17:36.853559,wolverine,console,competitive,grandmaster and above,4.68,52.12
2025-02-06T02:17:36.853559,wolverine,console,competitive,platinum,2.48,49.19
2025-02-06T02:17:36.853559,wolverine,console,competitive,silver,1.90,47.63
2025-02-07T02:18:07.468874,wolverine,pc,quickplay,all,3.23,47.96
2025-02-07T02:18:07.468874,wolverine,pc,competitive,all,1.95,48.04
2025-02-07T02:18:07.468874,wolverine,pc,competitive,bronze,1.64,46.15
2025-02-07T02:18:07.468874,wolverine,pc,competitive,diamond,3.37,51.02
2025-02-07T02:18:07.468874,wolverine,pc,competitive,gold,2.09,48.66
2025-02-07T02:18:07.468874,wolverine,pc,competitive,grandmaster and above,4.48,52.16
2025-02-07T02:18:07.468874,wolverine,pc,competitive,platinum,2.56,49.46
2025-02-07T02:18:07.468874,wolverine,pc,competitive,silver,1.68,47.63
2025-02-07T02:18:07.468874,wolverine,console,quickplay,all,3.23,47.96
2025-02-07T02:18:07.468874,wolverine,console,competitive,all,2.14,47.89
2025-02-07T02:18:07.468874,wolverine,console,competitive,bronze,2.00,46.46
2025-02-07T02:18:07.468874,wolverine,console,competitive,diamond,3.32,50.33
2025-02-07T02:18:07.468874,wolverine,console,competitive,gold,2.11,48.29
2025-02-07T02:18:07.468874,wolverine,console,competitive,grandmaster and above,4.68,52.12
2025-02-07T02:18:07.468874,wolverine,console,competitive,platinum,2.48,49.19
2025-02-07T02:18:07.468874,wolverine,console,competitive,silver,1.90,47.63
2025-02-09T02:20:23.002473,wolverine,pc,quickplay,all,3.23,47.96
2025-02-09T02:20:23.002473,wolverine,pc,competitive,all,1.95,48.04
2025-02-09T02:20:23.002473,wolverine,pc,competitive,bronze,1.64,46.15
2025-02-09T02:20:23.002473,wolverine,pc,competitive,diamond,3.37,51.02
2025-02-09T02:20:23.002473,wolverine,pc,competitive,gold,2.09,48.66
2025-02-09T02:20:23.002473,wolverine,pc,competitive,grandmaster and above,4.48,52.16
2025-02-09T02:20:23.002473,wolverine,pc,competitive,platinum,2.56,49.46
2025-02-09T02:20:23.002473,wolverine,pc,competitive,silver,1.68,47.63
2025-02-09T02:20:23.002473,wolverine,console,quickplay,all,3.23,47.96
2025-02-09T02:20:23.002473,wolverine,console,competitive,all,2.14,47.89
