timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:35:03.303411,hawkeye,pc,quickplay,all,6.99,47.89
2025-02-03T19:35:03.303411,hawkeye,pc,competitive,all,7.61,48.91
2025-02-03T19:35:03.303411,hawkeye,pc,competitive,bronze,7.67,49.28
2025-02-03T19:35:03.303411,hawkeye,pc,competitive,diamond,5.22,48.51
2025-02-03T19:35:03.303411,hawkeye,pc,competitive,gold,7.93,48.48
2025-02-03T19:35:03.303411,hawkeye,pc,competitive,grandmaster and above,3.60,49.89
2025-02-03T19:35:03.303411,hawkeye,pc,competitive,platinum,8.11,47.74
2025-02-03T19:35:03.303411,hawkeye,pc,competitive,silver,7.74,49.19
2025-02-03T19:35:03.303411,hawkeye,console,quickplay,all,6.99,47.89
2025-02-03T19:35:03.303411,hawkeye,console,competitive,all,6.59,48.03
2025-02-03T19:35:03.303411,hawkeye,console,competitive,bronze,7.28,48.03
2025-02-03T19:35:03.303411,hawkeye,console,competitive,diamond,4.36,48.21
2025-02-03T19:35:03.303411,hawkeye,console,competitive,gold,6.34,48.00
2025-02-03T19:35:03.303411,hawkeye,console,competitive,grandmaster and above,3.06,49.82
2025-02-03T19:35:03.303411,hawkeye,console,competitive,platinum,6.31,47.43
2025-02-03T19:35:03.303411,hawkeye,console,competitive,silver,6.55,48.19
2025-02-04T02:12:34.550145,hawkeye,pc,quickplay,all,6.99,47.89
2025-02-04T02:12:34.550145,hawkeye,pc,competitive,all,7.61,48.91
2025-02-04T02:12:34.550145,hawkeye,pc,competitive,bronze,7.67,49.28
2025-02-04T02:12:34.550145,hawkeye,pc,competitive,diamond,5.22,48.51
2025-02-04T02:12:34.550145,hawkeye,pc,competitive,gold,7.93,48.48
2025-02-04T02:12:34.550145,hawkeye,pc,competitive,grandmaster and above,3.60,49.89
2025-02-04T02:12:34.550145,hawkeye,pc,competitive,platinum,8.11,47.74
2025-02-04T02:12:34.550145,hawkeye,pc,competitive,silver,7.74,49.19
2025-02-04T02:12:34.550145,hawkeye,console,quickplay,all,6.99,47.89
2025-02-04T02:12:34.550145,hawkeye,console,competitive,all,6.59,48.03
2025-02-04T02:12:34.550145,hawkeye,console,competitive,bronze,7.28,48.03
2025-02-04T02:12:34.550145,hawkeye,console,competitive,diamond,4.36,48.21
2025-02-04T02:12:34.550145,hawkeye,console,competitive,gold,6.34,48.00
2025-02-04T02:12:34.550145,hawkeye,console,competitive,grandmaster and above,3.06,49.82
2025-02-04T02:12:34.550145,hawkeye,console,competitive,platinum,6.31,47.43
2025-02-04T02:12:34.550145,hawkeye,console,competitive,silver,6.55,48.19
2025-02-05T02:13:47.173863,hawkeye,pc,quickplay,all,6.99,47.89
2025-02-05T02:13:47.173863,hawkeye,pc,competitive,all,7.61,48.91
2025-02-05T02:13:47.173863,hawkeye,pc,competitive,bronze,7.67,49.28
2025-02-05T02:13:47.173863,hawkeye,pc,competitive,diamond,5.22,48.51
2025-02-05T02:13:47.173863,hawkeye,pc,competitive,gold,7.93,48.48
2025-02-05T02:13:47.173863,hawkeye,pc,competitive,grandmaster and above,3.60,49.89
2025-02-05T02:13:47.173863,hawkeye,pc,competitive,platinum,8.11,47.74
2025-02-05T02:13:47.173863,hawkeye,pc,competitive,silver,7.74,49.19
2025-02-05T02:13:47.173863,hawkeye,console,quickplay,all,6.99,47.89
2025-02-05T02:13:47.173863,hawkeye,console,competitive,all,6.59,48.03
2025-02-05T02:13:47.173863,hawkeye,console,competitive,bronze,7.28,48.03
2025-02-05T02:13:47.173863,hawkeye,console,competitive,diamond,4.36,48.21
2025-02-05T02:13:47.173863,hawkeye,console,competitive,gold,6.34,48.00
2025-02-05T02:13:47.173863,hawkeye,console,competitive,grandmaster and above,3.06,49.82
2025-02-05T02:13:47.173863,hawkeye,console,competitive,platinum,6.31,47.43
2025-02-05T02:13:47.173863,hawkeye,console,competitive,silver,6.55,48.19
2025-02-06T02:14:13.895095,hawkeye,pc,quickplay,all,6.99,47.89
2025-02-06T02:14:13.895095,hawkeye,pc,competitive,all,7.61,48.91
2025-02-06T02:14:13.895095,hawkeye,pc,competitive,bronze,7.67,49.28
2025-02-06T02:14:13.895095,hawkeye,pc,competitive,diamond,5.22,48.51
2025-02-06T02:14:13.895095,hawkeye,pc,competitive,gold,7.93,48.48
2025-02-06T02:14:13.895095,hawkeye,pc,competitive,grandmaster and above,3.60,49.89
2025-02-06T02:14:13.895095,hawkeye,pc,competitive,platinum,8.11,47.74
2025-02-06T02:14:13.895095,hawkeye,pc,competitive,silver,7.74,49.19
2025-02-06T02:14:13.895095,hawkeye,console,quickplay,all,6.99,47.89
2025-02-06T02:14:13.895095,hawkeye,console,competitive,all,6.59,48.03
2025-02-06T02:14:13.895095,hawkeye,console,competitive,bronze,7.28,48.03
2025-02-06T02:14:13.895095,hawkeye,console,competitive,diamond,4.36,48.21
2025-02-06T02:14:13.895095,hawkeye,console,competitive,gold,6.34,48.00
2025-02-06T02:14:13.895095,hawkeye,console,competitive,grandmaster and above,3.06,49.82
2025-02-06T02:14:13.895095,hawkeye,console,competitive,platinum,6.31,47.43
2025-02-06T02:14:13.895095,hawkeye,console,competitive,silver,6.55,48.19
2025-02-07T02:14:55.644064,hawkeye,pc,quickplay,all,6.99,47.89
2025-02-07T02:14:55.644064,hawkeye,pc,competitive,all,7.61,48.91
2025-02-07T02:14:55.644064,hawkeye,pc,competitive,bronze,7.67,49.28
2025-02-07T02:14:55.644064,hawkeye,pc,competitive,diamond,5.22,48.51
2025-02-07T02:14:55.644064,hawkeye,pc,competitive,gold,7.93,48.48
