timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:36:12.880962,namor,pc,quickplay,all,2.76,52.16
2025-02-03T19:36:12.880962,namor,pc,competitive,all,4.34,51.25
2025-02-03T19:36:12.880962,namor,pc,competitive,bronze,3.07,51.94
2025-02-03T19:36:12.880962,namor,pc,competitive,diamond,8.35,49.86
2025-02-03T19:36:12.880962,namor,pc,competitive,gold,4.94,51.21
2025-02-03T19:36:12.880962,namor,pc,competitive,grandmaster and above,10.39,49.13
2025-02-03T19:36:12.880962,namor,pc,competitive,platinum,6.24,50.74
2025-02-03T19:36:12.880962,namor,pc,competitive,silver,3.95,51.63
2025-02-03T19:36:12.880962,namor,console,quickplay,all,2.76,52.16
2025-02-03T19:36:12.880962,namor,console,competitive,all,4.89,50.95
2025-02-03T19:36:12.880962,namor,console,competitive,bronze,3.39,51.62
2025-02-03T19:36:12.880962,namor,console,competitive,diamond,8.87,49.60
2025-02-03T19:36:12.880962,namor,console,competitive,gold,5.66,50.96
2025-02-03T19:36:12.880962,namor,console,competitive,grandmaster and above,9.90,48.70
2025-02-03T19:36:12.880962,namor,console,competitive,platinum,7.15,50.63
2025-02-03T19:36:12.880962,namor,console,competitive,silver,4.49,51.21
2025-02-04T02:15:32.376573,namor,pc,quickplay,all,2.76,52.16
2025-02-04T02:15:32.376573,namor,pc,competitive,all,4.34,51.25
2025-02-04T02:15:32.376573,namor,pc,competitive,bronze,3.07,51.94
2025-02-04T02:15:32.376573,namor,pc,competitive,diamond,8.35,49.86
2025-02-04T02:15:32.376573,namor,pc,competitive,gold,4.94,51.21
2025-02-04T02:15:32.376573,namor,pc,competitive,grandmaster and above,10.39,49.13
2025-02-04T02:15:32.376573,namor,pc,competitive,platinum,6.24,50.74
2025-02-04T02:15:32.376573,namor,pc,competitive,silver,3.95,51.63
2025-02-04T02:15:32.376573,namor,console,quickplay,all,2.76,52.16
2025-02-04T02:15:32.376573,namor,console,competitive,all,4.89,50.95
2025-02-04T02:15:32.376573,namor,console,competitive,bronze,3.39,51.62
2025-02-04T02:15:32.376573,namor,console,competitive,diamond,8.87,49.60
2025-02-04T02:15:32.376573,namor,console,competitive,gold,5.66,50.96
2025-02-04T02:15:32.376573,namor,console,competitive,grandmaster and above,9.90,48.70
2025-02-04T02:15:32.376573,namor,console,competitive,platinum,7.15,50.63
2025-02-04T02:15:32.376573,namor,console,competitive,silver,4.49,51.21
2025-02-05T02:16:48.321525,namor,pc,quickplay,all,2.76,52.16
2025-02-05T02:16:48.321525,namor,pc,competitive,all,4.34,51.25
2025-02-05T02:16:48.321525,namor,pc,competitive,bronze,3.07,51.94
2025-02-05T02:16:48.321525,namor,pc,competitive,diamond,8.35,49.86
2025-02-05T02:16:48.321525,namor,pc,competitive,gold,4.94,51.21
2025-02-05T02:16:48.321525,namor,pc,competitive,grandmaster and above,10.39,49.13
2025-02-05T02:16:48.321525,namor,pc,competitive,platinum,6.24,50.74
2025-02-05T02:16:48.321525,namor,pc,competitive,silver,3.95,51.63
2025-02-05T02:16:48.321525,namor,console,quickplay,all,2.76,52.16
2025-02-05T02:16:48.321525,namor,console,competitive,all,4.89,50.95
2025-02-05T02:16:48.321525,namor,console,competitive,bronze,3.39,51.62
2025-02-05T02:16:48.321525,namor,console,competitive,diamond,8.87,49.60
2025-02-05T02:16:48.321525,namor,console,competitive,gold,5.66,50.96
2025-02-05T02:16:48.321525,namor,console,competitive,grandmaster and above,9.90,48.70
2025-02-05T02:16:48.321525,namor,console,competitive,platinum,7.15,50.63
2025-02-05T02:16:48.321525,namor,console,competitive,silver,4.49,51.21
2025-02-06T02:17:07.142186,namor,pc,quickplay,all,2.76,52.16
2025-02-06T02:17:07.142186,namor,pc,competitive,all,4.34,51.25
2025-02-06T02:17:07.142186,namor,pc,competitive,bronze,3.07,51.94
2025-02-06T02:17:07.142186,namor,pc,competitive,diamond,8.35,49.86
2025-02-06T02:17:07.142186,namor,pc,competitive,gold,4.94,51.21
2025-02-06T02:17:07.142186,namor,pc,competitive,grandmaster and above,10.39,49.13
2025-02-06T02:17:07.142186,namor,pc,competitive,platinum,6.24,50.74
2025-02-06T02:17:07.142186,namor,pc,competitive,silver,3.95,51.63
2025-02-06T02:17:07.142186,namor,console,quickplay,all,2.76,52.16
2025-02-06T02:17:07.142186,namor,console,competitive,all,4.89,50.95
2025-02-06T02:17:07.142186,namor,console,competitive,bronze,3.39,51.62
2025-02-06T02:17:07.142186,namor,console,competitive,diamond,8.87,49.60
2025-02-06T02:17:07.142186,namor,console,competitive,gold,5.66,50.96
2025-02-06T02:17:07.142186,namor,console,competitive,grandmaster and above,9.90,48.70
2025-02-06T02:17:07.142186,namor,console,competitive,platinum,7.15,50.63
2025-02-06T02:17:07.142186,namor,console,competitive,silver,4.49,51.21
2025-02-07T02:17:36.448491,namor,pc,quickplay,all,2.76,52.16
2025-02-07T02:17:36.448491,namor,pc,competitive,all,4.34,51.25
2025-02-07T02:17:36.448491,namor,pc,competitive,bronze,3.07,51.94
2025-02-07T02:17:36.448491,namor,pc,competitive,diamond,8.35,49.86
2025-02-07T02:17:36.448491,namor,pc,competitive,gold,4.94,51.21
2025-02-07T02:17:36.448491,namor,pc,competitive,grandmaster and above,10.39,49.13
2025-02-07T02:17:36.448491,namor,pc,competitive,platinum,6.24,50.74
2025-02-07T02:17:36.448491,namor,pc,competitive,silver,3.95,51.63
2025-02-07T02:17:36.448491,namor,console,quickplay,all,2.76,52.16
2025-02-07T02:17:36.448491,namor,console,competitive,all,4.89,50.95
2025-02-07T02:17:36.448491,namor,console,competitive,bronze,3.39,51.62
2025-02-07T02:17:36.448491,namor,console,competitive,diamond,8.87,49.60
2025-02-07T02:17:36.448491,namor,console,competitive,gold,5.66,50.96
2025-02-07T02:17:36.448491,namor,console,competitive,grandmaster and above,9.90,48.70
2025-02-07T02:17:36.448491,namor,console,competitive,platinum,7.15,50.63
2025-02-07T02:17:36.448491,namor,console,competitive,silver,4.49,51.21
