timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-03T19:36:19.035422,psylocke,pc,quickplay,all,6.81,50.08
2025-02-03T19:36:19.035422,psylocke,pc,competitive,all,9.20,51.68
2025-02-03T19:36:19.035422,psylocke,pc,competitive,bronze,8.38,52.00
2025-02-03T19:36:19.035422,psylocke,pc,competitive,diamond,11.93,51.53
2025-02-03T19:36:19.035422,psylocke,pc,competitive,gold,9.57,51.37
2025-02-03T19:36:19.035422,psylocke,pc,competitive,grandmaster and above,13.55,51.92
2025-02-03T19:36:19.035422,psylocke,pc,competitive,platinum,10.34,51.09
2025-02-03T19:36:19.035422,psylocke,pc,competitive,silver,8.95,51.79
2025-02-03T19:36:19.035422,psylocke,console,quickplay,all,6.81,50.08
2025-02-03T19:36:19.035422,psylocke,console,competitive,all,6.21,50.30
2025-02-03T19:36:19.035422,psylocke,console,competitive,bronze,5.59,50.36
2025-02-03T19:36:19.035422,psylocke,console,competitive,diamond,8.51,50.50
2025-02-03T19:36:19.035422,psylocke,console,competitive,gold,6.47,50.09
2025-02-03T19:36:19.035422,psylocke,console,competitive,grandmaster and above,10.31,50.97
2025-02-03T19:36:19.035422,psylocke,console,competitive,platinum,6.95,50.22
2025-02-03T19:36:19.035422,psylocke,console,competitive,silver,5.94,50.30
2025-02-04T02:15:59.497730,psylocke,pc,quickplay,all,6.81,50.08
2025-02-04T02:15:59.497730,psylocke,pc,competitive,all,9.20,51.68
2025-02-04T02:15:59.497730,psylocke,pc,competitive,bronze,8.38,52.00
2025-02-04T02:15:59.497730,psylocke,pc,competitive,diamond,11.93,51.53
2025-02-04T02:15:59.497730,psylocke,pc,competitive,gold,9.57,51.37
2025-02-04T02:15:59.497730,psylocke,pc,competitive,grandmaster and above,13.55,51.92
2025-02-04T02:15:59.497730,psylocke,pc,competitive,platinum,10.34,51.09
2025-02-04T02:15:59.497730,psylocke,pc,competitive,silver,8.95,51.79
2025-02-04T02:15:59.497730,psylocke,console,quickplay,all,6.81,50.08
2025-02-04T02:15:59.497730,psylocke,console,competitive,all,6.21,50.30
2025-02-04T02:15:59.497730,psylocke,console,competitive,bronze,5.59,50.36
2025-02-04T02:15:59.497730,psylocke,console,competitive,diamond,8.51,50.50
2025-02-04T02:15:59.497730,psylocke,console,competitive,gold,6.47,50.09
2025-02-04T02:15:59.497730,psylocke,console,competitive,grandmaster and above,10.31,50.97
2025-02-04T02:15:59.497730,psylocke,console,competitive,platinum,6.95,50.22
2025-02-04T02:15:59.497730,psylocke,console,competitive,silver,5.94,50.30
2025-02-05T02:17:17.630017,psylocke,pc,quickplay,all,6.81,50.08
2025-02-05T02:17:17.630017,psylocke,pc,competitive,all,9.20,51.68
2025-02-05T02:17:17.630017,psylocke,pc,competitive,bronze,8.38,52.00
2025-02-05T02:17:17.630017,psylocke,pc,competitive,diamond,11.93,51.53
2025-02-05T02:17:17.630017,psylocke,pc,competitive,gold,9.57,51.37
2025-02-05T02:17:17.630017,psylocke,pc,competitive,grandmaster and above,13.55,51.92
2025-02-05T02:17:17.630017,psylocke,pc,competitive,platinum,10.34,51.09
2025-02-05T02:17:17.630017,psylocke,pc,competitive,silver,8.95,51.79
2025-02-05T02:17:17.630017,psylocke,console,quickplay,all,6.81,50.08
2025-02-05T02:17:17.630017,psylocke,console,competitive,all,6.21,50.30
2025-02-05T02:17:17.630017,psylocke,console,competitive,bronze,5.59,50.36
2025-02-05T02:17:17.630017,psylocke,console,competitive,diamond,8.51,50.50
2025-02-05T02:17:17.630017,psylocke,console,competitive,gold,6.47,50.09
2025-02-05T02:17:17.630017,psylocke,console,competitive,grandmaster and above,10.31,50.97
2025-02-05T02:17:17.630017,psylocke,console,competitive,platinum,6.95,50.22
2025-02-05T02:17:17.630017,psylocke,console,competitive,silver,5.94,50.30
2025-02-06T02:17:29.930707,psylocke,pc,quickplay,all,6.81,50.08
2025-02-06T02:17:29.930707,psylocke,pc,competitive,all,9.20,51.68
2025-02-06T02:17:29.930707,psylocke,pc,competitive,bronze,8.38,52.00
2025-02-06T02:17:29.930707,psylocke,pc,competitive,diamond,11.93,51.53
2025-02-06T02:17:29.930707,psylocke,pc,competitive,gold,9.57,51.37
2025-02-06T02:17:29.930707,psylocke,pc,competitive,grandmaster and above,13.55,51.92
2025-02-06T02:17:29.930707,psylocke,pc,competitive,platinum,10.34,51.09
2025-02-06T02:17:29.930707,psylocke,pc,competitive,silver,8.95,51.79
2025-02-06T02:17:29.930707,psylocke,console,quickplay,all,6.81,50.08
2025-02-06T02:17:29.930707,psylocke,console,competitive,all,6.21,50.30
2025-02-06T02:17:29.930707,psylocke,console,competitive,bronze,5.59,50.36
2025-02-06T02:17:29.930707,psylocke,console,competitive,diamond,8.51,50.50
2025-02-06T02:17:29.930707,psylocke,console,competitive,gold,6.47,50.09
2025-02-06T02:17:29.930707,psylocke,console,competitive,grandmaster and above,10.31,50.97
2025-02-06T02:17:29.930707,psylocke,console,competitive,platinum,6.95,50.22
2025-02-06T02:17:29.930707,psylocke,console,competitive,silver,5.94,50.30
2025-02-07T02:18:01.174184,psylocke,pc,quickplay,all,6.81,50.08
2025-02-07T02:18:01.174184,psylocke,pc,competitive,all,9.20,51.68
2025-02-07T02:18:01.174184,psylocke,pc,competitive,bronze,8.38,52.00
2025-02-07T02:18:01.174184,psylocke,pc,competitive,diamond,11.93,51.53
2025-02-07T02:18:01.174184,psylocke,pc,competitive,gold,9.57,51.37
2025-02-07T02:18:01.174184,psylocke,pc,competitive,grandmaster and above,13.55,51.92
2025-02-07T02:18:01.174184,psylocke,pc,competitive,platinum,10.34,51.09
2025-02-07T02:18:01.174184,psylocke,pc,competitive,silver,8.95,51.79
2025-02-07T02:18:01.174184,psylocke,console,quickplay,all,6.81,50.08
2025-02-07T02:18:01.174184,psylocke,console,competitive,all,6.21,50.30
2025-02-07T02:18:01.174184,psylocke,console,competitive,bronze,5.59,50.36
2025-02-07T02:18:01.174184,psylocke,console,competitive,diamond,8.51,50.50
2025-02-07T02:18:01.174184,psylocke,console,competitive,gold,6.47,50.09
2025-02-07T02:18:01.174184,psylocke,console,competitive,grandmaster and above,10.31,50.97
2025-02-07T02:18:01.174184,psylocke,console,competitive,platinum,6.95,50.22
2025-02-07T02:18:01.174184,psylocke,console,competitive,silver,5.94,50.30
2025-02-09T02:20:14.855490,psylocke,pc,quickplay,all,6.81,50.08
2025-02-09T02:20:14.855490,psylocke,pc,competitive,all,9.20,51.68
2025-02-09T02:20:14.855490,psylocke,pc,competitive,bronze,8.38,52.00
2025-02-09T02:20:14.855490,psylocke,pc,competitive,diamond,11.93,51.53
2025-02-09T02:20:14.855490,psylocke,pc,competitive,gold,9.57,51.37
2025-02-09T02:20:14.855490,psylocke,pc,competitive,grandmaster and above,13.55,51.92
2025-02-09T02:20:14.855490,psylocke,pc,competitive,platinum,10.34,51.09
2025-02-09T02:20:14.855490,psylocke,pc,competitive,silver,8.95,51.79
2025-02-09T02:20:14.855490,psylocke,console,quickplay,all,6.81,50.08
2025-02-09T02:20:14.855490,psylocke,console,competitive,all,6.21,50.30
2025-02-09T02:20:14.855490,psylocke,console,competitive,bronze,5.59,50.36
2025-02-09T02:20:14.855490,psylocke,console,competitive,diamond,8.51,50.50
2025-02-09T02:20:14.855490,psylocke,console,competitive,gold,6.47,50.09
2025-02-09T02:20:14.855490,psylocke,console,competitive,grandmaster and above,10.31,50.97
2025-02-09T02:20:14.855490,psylocke,console,competitive,platinum,6.95,50.22
2025-02-09T02:20:14.855490,psylocke,console,competitive,silver,5.94,50.30
2025-02-10T02:21:23.707434,psylocke,pc,quickplay,all,6.81,50.08
2025-02-10T02:21:23.707434,psylocke,pc,competitive,all,9.20,51.68
2025-02-10T02:21:23.707434,psylocke,pc,competitive,bronze,8.38,52.00
2025-02-10T02:21:23.707434,psylocke,pc,competitive,diamond,11.93,51.53
2025-02-10T02:21:23.707434,psylocke,pc,competitive,gold,9.57,51.37
2025-02-10T02:21:23.707434,psylocke,pc,competitive,grandmaster and above,13.55,51.92
2025-02-10T02:21:23.707434,psylocke,pc,competitive,platinum,10.34,51.09
2025-02-10T02:21:23.707434,psylocke,pc,competitive,silver,8.95,51.79
2025-02-10T02:21:23.707434,psylocke,console,quickplay,all,6.81,50.08
2025-02-10T02:21:23.707434,psylocke,console,competitive,all,6.21,50.30
2025-02-10T02:21:23.707434,psylocke,console,competitive,bronze,5.59,50.36
2025-02-10T02:21:23.707434,psylocke,console,competitive,diamond,8.51,50.50
2025-02-10T02:21:23.707434,psylocke,console,competitive,gold,6.47,50.09
2025-02-10T02:21:23.707434,psylocke,console,competitive,grandmaster and above,10.31,50.97
