timestamp,rank,division,population_count
2025-02-02T14:48:34.218480,bronze,1,167187
2025-02-02T16:58:26.674937,bronze,1,167187
2025-02-03T08:58:35.921360,bronze,1,174938
2025-02-02T14:48:34.218480,bronze,2,183849
2025-02-02T16:58:26.674937,bronze,2,183849
2025-02-03T08:58:35.921360,bronze,2,193832
2025-02-02T14:48:34.218480,bronze,3,650355
2025-02-02T16:58:26.674937,bronze,3,650355
2025-02-03T08:58:35.921360,bronze,3,690799
2025-02-02T14:48:34.218480,silver,1,150676
2025-02-02T16:58:26.674937,silver,1,150676
2025-02-03T08:58:35.921360,silver,1,155746
2025-02-02T14:48:34.218480,silver,2,167177
2025-02-02T16:58:26.674937,silver,2,167177
2025-02-03T08:58:35.921360,silver,2,173471
2025-02-02T14:48:34.218480,silver,3,189023
2025-02-02T16:58:26.674937,silver,3,189023
2025-02-03T08:58:35.921360,silver,3,196746
2025-02-02T14:48:34.218480,gold,1,109952
2025-02-02T16:58:26.674937,gold,1,109952
2025-02-03T08:58:35.921360,gold,1,113591
2025-02-02T14:48:34.218480,gold,2,131738
2025-02-02T16:58:26.674937,gold,2,131738
2025-02-03T08:58:35.921360,gold,2,136229
2025-02-02T14:48:34.218480,gold,3,185247
2025-02-02T16:58:26.674937,gold,3,185247
2025-02-03T08:58:35.921360,gold,3,191650
2025-02-02T14:48:34.218480,platinum,1,41891
2025-02-02T16:58:26.674937,platinum,1,41891
2025-02-03T08:58:35.921360,platinum,1,43829
2025-02-02T14:48:34.218480,platinum,2,69547
2025-02-02T16:58:26.674937,platinum,2,69547
2025-02-03T08:58:35.921360,platinum,2,72405
2025-02-02T14:48:34.218480,platinum,3,122029
2025-02-02T16:58:26.674937,platinum,3,122029
2025-02-03T08:58:35.921360,platinum,3,126389
2025-02-02T14:48:34.218480,diamond,1,8745
2025-02-02T16:58:26.674937,diamond,1,8745
2025-02-03T08:58:35.921360,diamond,1,9509
2025-02-02T14:48:34.218480,diamond,2,16159
2025-02-02T16:58:26.674937,diamond,2,16159
2025-02-03T08:58:35.921360,diamond,2,17244
2025-02-02T14:48:34.218480,diamond,3,35838
2025-02-02T16:58:26.674937,diamond,3,35838
2025-02-03T08:58:35.921360,diamond,3,37870
2025-02-02T14:48:34.218480,grandmaster,1,2233
2025-02-02T16:58:26.674937,grandmaster,1,2233
2025-02-03T08:58:35.921360,grandmaster,1,2418
2025-02-02T14:48:34.218480,grandmaster,2,3936
2025-02-02T16:58:26.674937,grandmaster,2,3936
2025-02-03T08:58:35.921360,grandmaster,2,4236
2025-02-02T14:48:34.218480,grandmaster,3,9644
2025-02-02T16:58:26.674937,grandmaster,3,9644
2025-02-03T08:58:35.921360,grandmaster,3,10434
2025-02-02T14:48:34.218480,celestial,1,349
2025-02-02T16:58:26.674937,celestial,1,349
2025-02-03T08:58:35.921360,celestial,1,388
2025-02-02T14:48:34.218480,celestial,2,775
2025-02-02T16:58:26.674937,celestial,2,775
2025-02-03T08:58:35.921360,celestial,2,821
2025-02-02T14:48:34.218480,celestial,3,2077
2025-02-02T16:58:26.674937,celestial,3,2077
2025-02-03T08:58:35.921360,celestial,3,2280
2025-02-02T14:48:34.218480,eternity,total,51
2025-02-02T16:58:26.674937,eternity,total,51
2025-02-03T08:58:35.921360,eternity,total,59
2025-02-02T14:48:34.218480,one_above_all,total,163
2025-02-02T16:58:26.674937,one_above_all,total,163
2025-02-03T08:58:35.921360,one_above_all,total,166
